level,order,title,author,publisher
B,32,ジェインのもうふ,ミラー 厨川圭子・訳,偕成社
B,33,こぶたのピクルス,小風さち 夏目ちさ・絵,福音館書店
B,34,オコジョのすむ谷,増田戻樹,あかね書房
B,35,ふしぎなかぎばあさん,手島悠介 岡本颯子・絵,岩崎書店
B,36,二ちょうめのおばけやしき,木暮正夫 渡辺有一・絵,岩崎書店
B,37,スーホの白い馬,大塚勇三・再話 赤羽末吉・画,福音館書店
B,38,ゆめくい小人,エンデ フックスフーバー・絵,偕成社
B,39,おばあさんのひこうき,佐藤さとる 村上勉・絵,小峰書店
B,40,としょかんライオン,ヌードセン ホークス・絵,岩崎書店
B,41,モチモチの木,斎藤隆介 滝平二郎・絵,岩崎書店
B,42,わたしたちのトビアス,スベドベリ・編 山内清子・訳,偕成社
B,43,１ねん１くみ１ばんワル,後藤竜二 長谷川知子・絵,ポプラ社
B,44,なぞのたから島,寺村輝夫 永井郁子・絵,あかね書房
B,45,ことばのこばこ,和田誠,瑞雲舎
B,46,そして、トンキ－もしんだ,たなべまもる かじあゆた・絵,国土社
B,47,音楽室の日曜日,村上しいこ 田中六大・絵,講談社
B,48,きょうりゅうたち,パリッシュ ローベル・絵,文化出版局
B,49,さんねん峠,李錦玉 朴民宜・絵,岩崎書店
B,50,かたあしだちょうのエルフ,おのきがく,ポプラ社
C,1,おしゃべりなたまごやき,寺村輝夫 長新太・画,福音館書店
C,2,なぞなぞのすきな女の子,松岡享子 大社玲子・絵,学研プラス
C,3,もしかしたら名探偵,杉山亮 中川大輔・絵,偕成社
C,4,おかあさんの目,あまんきみこ くろいけん・絵,あかね書房
C,5,サーカスのライオン,かわむらたかし さいとうひろゆき・絵,ポプラ社
C,6,王さまと九人のきょうだい,君島久子・訳 赤羽末吉・絵,岩波書店
C,7,やまんばのにしき,まつたにみよこ せがわやすお・絵,ポプラ社
C,8,ロッタちゃんのひっこし,リンドグレーン 山室静・訳,偕成社
C,9,ぞくぞく村のミイラのラムさん,末吉暁子 垂石眞子・絵,あかね書房
C,10,トレモスのパン屋,小倉明 石倉欣二・絵,くもん出版
C,11,おともださにナリマ小,たかどのほうこ にしむらあつこ・絵,フレーベル館
C,12,花さき山,斎藤隆介 滝平二郎・絵,岩崎書店
C,13,つるにょうぼう,矢川澄子・再話 赤羽末吉・画,福音館書店
C,14,てぶくろをかいに,新美南吉 わかやまけん・絵,ポプラ社
C,15,ウエズレーの国,フライシュマン ホークス・絵,あすなろ書房
C,16,ちいちゃんのかげおくり,あまんきみこ 上野紀子・絵,あかね書房
C,17,おにたのぼうし,あまんきみこ いわさきちひろ・絵,ポプラ社
C,18,ひろしまのピカ,丸木俊,小峰書店
C,19,ぼくは王さま,寺村輝夫 和田誠・絵,理論社
C,20,ものぐさトミー,デュボア 松岡享子・訳,岩波書店
C,21,ちいさいモモちゃん,松谷みよ子 菊池貞雄・絵,講談社
C,22,エパミナンダス,東京子ども図書館・編,東京子ども図書館
C,23,きょうりゅうが学校にやってきた,フォーサイス 熊谷鉱司・訳,金の星社
C,24,いやいやえん,中川李枝子 大村百合子・絵,福音館書店
C,25,つるばら村のパン屋さん,茂市久美子 中村悦子・絵,講談社
C,26,世界のむかしばなし,瀬田貞二・訳 太田大八・絵,のら書店
C,27,日本のむかしばなし,瀬田貞二 瀬川康男・梶山俊夫・絵,のら書店
C,28,火曜日のごちそうはヒキガエル,エリクソン 佐藤凉子・訳,評論社
